h3id,time,NO2,NO
89a8100ea3bffff,2019-04-22 19:00:00,14.893617021276597,0.0
89a8100ea3bffff,2019-04-22 20:00:00,15.957446808510639,0.0
89a8100ea3bffff,2019-04-22 21:00:00,14.361702127659575,0.8
89a8100ea3bffff,2019-04-22 22:00:00,10.106382978723405,0.0
89a8100ea3bffff,2019-04-22 23:00:00,13.829787234042554,2.4
89a8100ea3bffff,2019-04-23 00:00:00,18.085106382978726,4.0
89a8100ea3bffff,2019-04-23 01:00:00,,
89a8100ea3bffff,2019-04-23 02:00:00,6.382978723404256,0.8
89a8100ea3bffff,2019-04-23 03:00:00,5.319148936170213,1.6
89a8100ea3bffff,2019-04-23 04:00:00,3.7234042553191493,0.0
89a8100ea3bffff,2019-04-23 05:00:00,1.0638297872340425,0.0
89a8100ea3bffff,2019-04-23 06:00:00,7.446808510638299,3.2
89a8100ea3bffff,2019-04-23 07:00:00,18.085106382978726,5.6
89a8100ea3bffff,2019-04-23 08:00:00,26.595744680851066,22.4
89a8100ea3bffff,2019-04-23 09:00:00,20.74468085106383,12.0
89a8100ea3bffff,2019-04-23 10:00:00,26.595744680851066,22.4
89a8100ea3bffff,2019-04-23 11:00:00,23.93617021276596,13.6
89a8100ea3bffff,2019-04-23 12:00:00,19.680851063829788,6.4
89a8100ea3bffff,2019-04-23 13:00:00,19.148936170212767,4.0
89a8100ea3bffff,2019-04-23 14:00:00,14.361702127659575,0.8
89a8100ea3bffff,2019-04-23 15:00:00,12.23404255319149,0.0
89a8100ea3bffff,2019-04-23 16:00:00,10.106382978723405,0.0
89a8100ea3bffff,2019-04-23 17:00:00,9.574468085106384,0.8
89a8100ea3bffff,2019-04-23 18:00:00,11.170212765957448,0.8
89a8100ea3bffff,2019-04-23 19:00:00,10.106382978723405,0.0
89a8100ea3bffff,2019-04-23 20:00:00,11.702127659574469,0.8
89a8100ea3bffff,2019-04-23 21:00:00,11.170212765957448,1.6
89a8100ea3bffff,2019-04-23 22:00:00,10.106382978723405,0.8
89a8100ea3bffff,2019-04-23 23:00:00,20.74468085106383,10.4
89a8100ea3bffff,2019-04-24 00:00:00,12.765957446808512,3.2
89a8100ea3bffff,2019-04-24 01:00:00,,
89a8100ea3bffff,2019-04-24 02:00:00,10.638297872340425,1.6
89a8100ea3bffff,2019-04-24 03:00:00,3.7234042553191493,0.0
89a8100ea3bffff,2019-04-24 04:00:00,2.6595744680851063,0.0
89a8100ea3bffff,2019-04-24 05:00:00,3.191489361702128,0.8
89a8100ea3bffff,2019-04-24 06:00:00,7.446808510638299,0.0
89a8100ea3bffff,2019-04-24 07:00:00,17.5531914893617,4.8
89a8100ea3bffff,2019-04-24 08:00:00,24.46808510638298,32.0
89a8100ea3bffff,2019-04-24 09:00:00,29.787234042553195,44.8
89a8100ea3bffff,2019-04-24 10:00:00,29.25531914893617,28.0
89a8100ea3bffff,2019-04-24 11:00:00,29.787234042553195,23.2
89a8100ea3bffff,2019-04-24 12:00:00,29.25531914893617,15.2
89a8100ea3bffff,2019-04-24 13:00:00,34.04255319148936,13.6
89a8100ea3bffff,2019-04-24 14:00:00,27.659574468085108,6.4
89a8100ea3bffff,2019-04-24 15:00:00,15.425531914893618,0.0
89a8100ea3bffff,2019-04-24 16:00:00,14.893617021276597,0.0
89a8100ea3bffff,2019-04-24 17:00:00,15.425531914893618,2.4
89a8100ea3bffff,2019-04-24 18:00:00,19.680851063829788,0.8
89a8100ea3bffff,2019-04-24 19:00:00,14.893617021276597,0.0
89a8100ea3bffff,2019-04-24 20:00:00,14.893617021276597,0.0
89a8100ea3bffff,2019-04-24 21:00:00,14.361702127659575,0.0
89a8100ea3bffff,2019-04-24 22:00:00,13.297872340425533,0.8
89a8100ea3bffff,2019-04-24 23:00:00,7.9787234042553195,0.8
89a8100ea3bffff,2019-04-25 00:00:00,7.9787234042553195,0.0
89a8100ea3bffff,2019-04-25 01:00:00,,
89a8100ea3bffff,2019-04-25 02:00:00,2.127659574468085,0.0
89a8100ea3bffff,2019-04-25 03:00:00,1.595744680851064,0.0
89a8100ea3bffff,2019-04-25 04:00:00,1.595744680851064,0.0
89a8100ea3bffff,2019-04-25 05:00:00,2.127659574468085,0.0
89a8100ea3bffff,2019-04-25 06:00:00,14.361702127659575,4.8
89a8100ea3bffff,2019-04-25 07:00:00,19.148936170212767,14.4
